bigram,n11_papy_and_term,n01_gen_and_term,n10_papy_no_term,n00_gen_no_term,p_papy_docs,p_gen_docs,mi_bits
papyrologist say,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
papyrologist think,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
pari scroll,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
peopl outsid,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
pin messag,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
plus lot,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
preced follow,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
prefer share,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
pretti straight,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
previous line,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
probabl word,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
properti ink,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
publish academ,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
publish text,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
quit hard,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
quit opportun,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
quotat mark,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
read line,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
read open,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
real job,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
real papyrologist,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
result believ,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
result histor,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
rich guy,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
said earlier,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
said papyrologist,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
save space,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
say size,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
say sure,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
script easi,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
scroll appear,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
scroll inner,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
scroll period,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
search bit,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
second column,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
shop list,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
shown purpl,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
sider book,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
similar letter,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
similar look,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
small dot,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
space line,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
start place,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
success failur,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
sure make,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
tempt read,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
text book,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
